Quote
1.  Tired of feeling stuck?  Start moving.
2.  Dream it. Plan it. Do it.
"3.  Your comfort zone is a beautiful place, but nothing ever grows there."
4.  The only way to do great work is to love what you do.  Find it.
"5.  Success is not final, failure is not fatal: it is the courage to continue that counts."
6.  The future belongs to those who believe in the beauty of their dreams.
7.  Believe you can and you're halfway there.
8.  The only limit to our realization of tomorrow will be our doubts of today.
9.  Start where you are. Use what you have. Do what you can.
10.  Challenges are what make life interesting. Overcoming them is what makes life meaningful.
"11.  The greatest glory in living lies not in never falling, but in rising every time we fall."
12.  What seems impossible today will one day become your warm-up.
13.  Don't be afraid to give up the good to go for the great.
14.  The only person you are destined to become is the person you decide to be.
"15.  It is not the mountain we conquer, but ourselves."
16.  The mind is everything. What you think you become.
"17.  Your time is limited, so don't waste it living someone else's life."
18.  The difference between ordinary and extraordinary is that little extra.
19.  The journey of a thousand miles begins with a single step.
"20.  Opportunities don't happen, you create them."
21.  Hard work beats talent when talent doesn't work hard.
22.  The greatest discovery of all time is that a person can change his future by merely changing his attitude.
"23.  If you want to fly, you have to give up what weighs you down."
"24.  Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful."
25.  Doubt kills more dreams than failure ever will.
26.  The only thing standing between you and your dream is the will to try and the belief that it is actually possible.
"27.  Small steps, big progress."
"28.  It's not about perfect, it's about effort."
"29.  Your attitude, not your aptitude, will determine your altitude."
30.  Invest in yourself. It's the best investment you'll ever make.
"31.  Learn from your mistakes, and never repeat them."
32.  The pain of discipline is less than the pain of regret.
"33.  Stay hungry, stay foolish."
34.  What doesn't kill you makes you stronger.
35.  Be the change that you wish to see in the world.
36.  The only thing that stands between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it.
37.  Embrace the struggle.
38.  Your potential is limitless.
"39.  Believe in yourself, even when no one else does."
"40.  Don't wait for opportunity, create it."
41.  The road to success is always under construction.
42.  Never give up on a dream just because of the time it will take to accomplish it. The time will pass anyway.
43.  Life is too short to waste time on things that don't matter.
44.  The only person who can limit you is you.
"45.  Your future is created by what you do today, not tomorrow."
46.  Action conquers fear.
47.  Every day is a new opportunity to make a difference.
48.  It's never too late to be what you might have been.
"49.  Progress, not perfection."
50.  The best revenge is massive success.
